Temp,Volts(uV),
10.03,1.4,
9.9,1.38,
9.8,1.38,
9.7,1.37,
9.6,1.36,
9.2,1.33,
9,1.32,
8.6,1.3,
8.4,1.3,
8,1.27,
7.8,1.25,
7.6,1.25,
7.5,1.22,
7.3,1.2,
7.2,1.18,
7.1,1.15,
7,1.1,
6.9,1.17,
6.8,0.5,
