Model,MDO3014
Firmware Version,1.20

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.004
Horizontal Delay,0.016
Sample Interval,4e-07
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,5
Vertical Position,0
,
,
,
Label,
TIME,CH1
-3.896800e-03,0
-3.896400e-03,0
-3.896000e-03,0
-3.895600e-03,0
-3.895200e-03,0
-3.894800e-03,0
-3.894400e-03,0
-3.894000e-03,0
-3.893600e-03,0.2
-3.893200e-03,0
-3.892800e-03,0
-3.892400e-03,0
-3.892000e-03,0.2
-3.891600e-03,0.2
-3.891200e-03,0.2
-3.890800e-03,0.2
-3.890400e-03,0
-3.890000e-03,0
-3.889600e-03,0
-3.889200e-03,0.2
-3.888800e-03,0
-3.888400e-03,0
-3.888000e-03,0.2
-3.887600e-03,0
-3.887200e-03,0
-3.886800e-03,0
-3.886400e-03,0.2
-3.886000e-03,0
-3.885600e-03,0.2
-3.885200e-03,0
-3.884800e-03,0
-3.884400e-03,0.2
-3.884000e-03,0
-3.883600e-03,0
-3.883200e-03,0
-3.882800e-03,0
-3.882400e-03,0.2
-3.882000e-03,0
-3.881600e-03,0
-3.881200e-03,0
-3.880800e-03,0.2
-3.880400e-03,0
-3.880000e-03,0.2
-3.879600e-03,0
-3.879200e-03,0.2
-3.878800e-03,0.2
-3.878400e-03,0
-3.878000e-03,0
-3.877600e-03,0
-3.877200e-03,0.2
-3.876800e-03,0
-3.876400e-03,0
-3.876000e-03,0
-3.875600e-03,0.2
-3.875200e-03,0.2
-3.874800e-03,0.2
-3.874400e-03,0
-3.874000e-03,0
-3.873600e-03,0
-3.873200e-03,0.2
-3.872800e-03,0
-3.872400e-03,0.4
-3.872000e-03,0
-3.871600e-03,0
-3.871200e-03,0
-3.870800e-03,0.2
-3.870400e-03,0
-3.870000e-03,0.2
-3.869600e-03,0.2
-3.869200e-03,0.2
-3.868800e-03,0
-3.868400e-03,0.2
-3.868000e-03,0
-3.867600e-03,0
-3.867200e-03,0
-3.866800e-03,0.2
-3.866400e-03,0
-3.866000e-03,0.2
-3.865600e-03,0.2
-3.865200e-03,0.2
-3.864800e-03,0
-3.864400e-03,0
-3.864000e-03,0
-3.863600e-03,0
-3.863200e-03,0.2
-3.862800e-03,0
-3.862400e-03,0
-3.862000e-03,0.2
-3.861600e-03,0
-3.861200e-03,0
-3.860800e-03,0
-3.860400e-03,0.2
-3.860000e-03,0
-3.859600e-03,0
-3.859200e-03,0
-3.858800e-03,0
-3.858400e-03,0.2
-3.858000e-03,0
-3.857600e-03,0.2
-3.857200e-03,0
-3.856800e-03,0
-3.856400e-03,0
-3.856000e-03,0
-3.855600e-03,0
-3.855200e-03,0
-3.854800e-03,0.2
-3.854400e-03,0
-3.854000e-03,0.2
-3.853600e-03,0.2
-3.853200e-03,0.2
-3.852800e-03,0.2
-3.852400e-03,0
-3.852000e-03,0.4
-3.851600e-03,0
-3.851200e-03,0
-3.850800e-03,0.2
-3.850400e-03,0
-3.850000e-03,0.2
-3.849600e-03,0.2
-3.849200e-03,0
-3.848800e-03,0.2
-3.848400e-03,0.2
-3.848000e-03,0
-3.847600e-03,0.2
-3.847200e-03,0
-3.846800e-03,0
-3.846400e-03,0.2
-3.846000e-03,0
-3.845600e-03,0
-3.845200e-03,0.2
-3.844800e-03,0.2
-3.844400e-03,0.2
-3.844000e-03,0.2
-3.843600e-03,0.2
-3.843200e-03,0.4
-3.842800e-03,0
-3.842400e-03,0
-3.842000e-03,0
-3.841600e-03,0
-3.841200e-03,0.2
-3.840800e-03,0.2
-3.840400e-03,0
-3.840000e-03,0.2
-3.839600e-03,0
-3.839200e-03,0.2
-3.838800e-03,0.2
-3.838400e-03,0.2
-3.838000e-03,0.2
-3.837600e-03,0.2
-3.837200e-03,0
-3.836800e-03,0.2
-3.836400e-03,0
-3.836000e-03,0
-3.835600e-03,0.4
-3.835200e-03,0
-3.834800e-03,0
-3.834400e-03,0.2
-3.834000e-03,0
-3.833600e-03,0
-3.833200e-03,0
-3.832800e-03,0.2
-3.832400e-03,0
-3.832000e-03,0
-3.831600e-03,0.2
-3.831200e-03,0
-3.830800e-03,0
-3.830400e-03,0
-3.830000e-03,0.2
-3.829600e-03,0.2
-3.829200e-03,0.2
-3.828800e-03,0
-3.828400e-03,0.2
-3.828000e-03,0.2
-3.827600e-03,0
-3.827200e-03,0
-3.826800e-03,0.2
-3.826400e-03,0
-3.826000e-03,0
-3.825600e-03,0
-3.825200e-03,0.2
-3.824800e-03,0.2
-3.824400e-03,0
-3.824000e-03,0.2
-3.823600e-03,0
-3.823200e-03,0
-3.822800e-03,0.2
-3.822400e-03,0.2
-3.822000e-03,0
-3.821600e-03,0.2
-3.821200e-03,0.2
-3.820800e-03,0.2
-3.820400e-03,0.2
-3.820000e-03,0
-3.819600e-03,0.2
-3.819200e-03,0
-3.818800e-03,0
-3.818400e-03,0.2
-3.818000e-03,0
-3.817600e-03,0
-3.817200e-03,0.2
-3.816800e-03,0
-3.816400e-03,0
-3.816000e-03,0
-3.815600e-03,0
-3.815200e-03,0
-3.814800e-03,0.2
-3.814400e-03,0.2
-3.814000e-03,0.2
-3.813600e-03,0.2
-3.813200e-03,0
-3.812800e-03,0
-3.812400e-03,0
-3.812000e-03,0
-3.811600e-03,0
-3.811200e-03,0
-3.810800e-03,0
-3.810400e-03,0
-3.810000e-03,0
-3.809600e-03,0.2
-3.809200e-03,0
-3.808800e-03,0
-3.808400e-03,0
-3.808000e-03,0
-3.807600e-03,0
-3.807200e-03,0
-3.806800e-03,0
-3.806400e-03,0.2
-3.806000e-03,0.2
-3.805600e-03,0
-3.805200e-03,0.2
-3.804800e-03,0.2
-3.804400e-03,0
-3.804000e-03,0
-3.803600e-03,0
-3.803200e-03,0.2
-3.802800e-03,0
-3.802400e-03,0.2
-3.802000e-03,0
-3.801600e-03,0.2
-3.801200e-03,0
-3.800800e-03,0
-3.800400e-03,0
-3.800000e-03,0
-3.799600e-03,0
-3.799200e-03,0.2
-3.798800e-03,0
-3.798400e-03,0
-3.798000e-03,0
-3.797600e-03,0.2
-3.797200e-03,0.2
-3.796800e-03,0
-3.796400e-03,0.2
-3.796000e-03,0.2
-3.795600e-03,0.2
-3.795200e-03,0.2
-3.794800e-03,0
-3.794400e-03,0
-3.794000e-03,0.2
-3.793600e-03,0
-3.793200e-03,0
-3.792800e-03,0
-3.792400e-03,0
-3.792000e-03,0
-3.791600e-03,0.2
-3.791200e-03,0
-3.790800e-03,0
-3.790400e-03,0
-3.790000e-03,0
-3.789600e-03,0
-3.789200e-03,0
-3.788800e-03,0
-3.788400e-03,0
-3.788000e-03,0
-3.787600e-03,0
-3.787200e-03,0
-3.786800e-03,0.2
-3.786400e-03,0
-3.786000e-03,0
-3.785600e-03,0
-3.785200e-03,0
-3.784800e-03,0
-3.784400e-03,0.2
-3.784000e-03,0
-3.783600e-03,0
-3.783200e-03,0
-3.782800e-03,0.2
-3.782400e-03,0
-3.782000e-03,0
-3.781600e-03,0.2
-3.781200e-03,0.2
-3.780800e-03,0
-3.780400e-03,0.2
-3.780000e-03,0
-3.779600e-03,0
-3.779200e-03,0
-3.778800e-03,0
-3.778400e-03,0.2
-3.778000e-03,0.2
-3.777600e-03,0
-3.777200e-03,0
-3.776800e-03,0
-3.776400e-03,0
-3.776000e-03,0
-3.775600e-03,0
-3.775200e-03,0
-3.774800e-03,0
-3.774400e-03,0.2
-3.774000e-03,0
-3.773600e-03,0
-3.773200e-03,0
-3.772800e-03,0
-3.772400e-03,0
-3.772000e-03,0
-3.771600e-03,0
-3.771200e-03,0
-3.770800e-03,0.2
-3.770400e-03,0.2
-3.770000e-03,0
-3.769600e-03,0.2
-3.769200e-03,0
-3.768800e-03,0
-3.768400e-03,0
-3.768000e-03,0
-3.767600e-03,0
-3.767200e-03,0
-3.766800e-03,0.2
-3.766400e-03,0
-3.766000e-03,0
-3.765600e-03,0
-3.765200e-03,0
-3.764800e-03,0
-3.764400e-03,0
-3.764000e-03,0
-3.763600e-03,0
-3.763200e-03,0
-3.762800e-03,0
-3.762400e-03,0
-3.762000e-03,0.2
-3.761600e-03,0
-3.761200e-03,0
-3.760800e-03,0.2
-3.760400e-03,0
-3.760000e-03,0
-3.759600e-03,0.2
-3.759200e-03,0.2
-3.758800e-03,0.2
-3.758400e-03,0.2
-3.758000e-03,0
-3.757600e-03,0
-3.757200e-03,0
-3.756800e-03,0
-3.756400e-03,0
-3.756000e-03,0
-3.755600e-03,0
-3.755200e-03,0.2
-3.754800e-03,0
-3.754400e-03,0
-3.754000e-03,0.2
-3.753600e-03,0
-3.753200e-03,0
-3.752800e-03,0.2
-3.752400e-03,0
-3.752000e-03,0
-3.751600e-03,0
-3.751200e-03,0
-3.750800e-03,0
-3.750400e-03,0.2
-3.750000e-03,0
-3.749600e-03,0
-3.749200e-03,0.2
-3.748800e-03,0
-3.748400e-03,0
-3.748000e-03,0
-3.747600e-03,0
-3.747200e-03,0
-3.746800e-03,0
-3.746400e-03,0
-3.746000e-03,0
-3.745600e-03,0
-3.745200e-03,0
-3.744800e-03,0.2
-3.744400e-03,0
-3.744000e-03,0
-3.743600e-03,0.2
-3.743200e-03,0
-3.742800e-03,0
-3.742400e-03,0
-3.742000e-03,0.2
-3.741600e-03,0
-3.741200e-03,0
-3.740800e-03,0.2
-3.740400e-03,0
-3.740000e-03,0.2
-3.739600e-03,0
-3.739200e-03,0
-3.738800e-03,0
-3.738400e-03,0.2
-3.738000e-03,0
-3.737600e-03,0
-3.737200e-03,0
-3.736800e-03,0
-3.736400e-03,0
-3.736000e-03,0
-3.735600e-03,0
-3.735200e-03,0.2
-3.734800e-03,0.2
-3.734400e-03,0
-3.734000e-03,0.2
-3.733600e-03,0.2
-3.733200e-03,0
-3.732800e-03,0
-3.732400e-03,0
-3.732000e-03,0
-3.731600e-03,0.2
-3.731200e-03,0.2
-3.730800e-03,0.2
-3.730400e-03,0
-3.730000e-03,0.2
-3.729600e-03,0.2
-3.729200e-03,0.2
-3.728800e-03,0.2
-3.728400e-03,0.2
-3.728000e-03,0
-3.727600e-03,0.2
-3.727200e-03,0
-3.726800e-03,0.2
-3.726400e-03,0.2
-3.726000e-03,0
-3.725600e-03,0
-3.725200e-03,0
-3.724800e-03,0
-3.724400e-03,0.2
-3.724000e-03,0.2
-3.723600e-03,0.2
-3.723200e-03,0
-3.722800e-03,0
-3.722400e-03,0.2
-3.722000e-03,0
-3.721600e-03,0
-3.721200e-03,0
-3.720800e-03,0
-3.720400e-03,0
-3.720000e-03,0
-3.719600e-03,0.2
-3.719200e-03,0.2
-3.718800e-03,0.2
-3.718400e-03,0
-3.718000e-03,0.2
-3.717600e-03,0.2
-3.717200e-03,0.2
-3.716800e-03,0
-3.716400e-03,0
-3.716000e-03,0.4
-3.715600e-03,0
-3.715200e-03,0.2
-3.714800e-03,0
-3.714400e-03,0.2
-3.714000e-03,0.2
-3.713600e-03,0
-3.713200e-03,0.2
-3.712800e-03,0
-3.712400e-03,0.2
-3.712000e-03,0
-3.711600e-03,0
-3.711200e-03,0
-3.710800e-03,0.2
-3.710400e-03,0
-3.710000e-03,0.2
-3.709600e-03,0
-3.709200e-03,0
-3.708800e-03,0.2
-3.708400e-03,0.2
-3.708000e-03,0.2
-3.707600e-03,0.2
-3.707200e-03,0
-3.706800e-03,0
-3.706400e-03,0
-3.706000e-03,0.2
-3.705600e-03,0
-3.705200e-03,0.2
-3.704800e-03,0.2
-3.704400e-03,0.2
-3.704000e-03,0
-3.703600e-03,0.2
-3.703200e-03,0
-3.702800e-03,0
-3.702400e-03,0.2
-3.702000e-03,0.2
-3.701600e-03,0.2
-3.701200e-03,0
-3.700800e-03,0.2
-3.700400e-03,0
-3.700000e-03,0
-3.699600e-03,0
-3.699200e-03,0.4
-3.698800e-03,0
-3.698400e-03,0.2
-3.698000e-03,0.2
-3.697600e-03,0
-3.697200e-03,0
-3.696800e-03,0.2
-3.696400e-03,0
-3.696000e-03,0
-3.695600e-03,0.2
-3.695200e-03,0
-3.694800e-03,0
-3.694400e-03,0
-3.694000e-03,0.2
-3.693600e-03,0.2
-3.693200e-03,0
-3.692800e-03,0
-3.692400e-03,0
-3.692000e-03,0.2
-3.691600e-03,0
-3.691200e-03,0
-3.690800e-03,0.2
-3.690400e-03,0.2
-3.690000e-03,0.2
-3.689600e-03,0
-3.689200e-03,0
-3.688800e-03,0
-3.688400e-03,0.2
-3.688000e-03,0
-3.687600e-03,0.2
-3.687200e-03,0
-3.686800e-03,0.2
-3.686400e-03,0.2
-3.686000e-03,0
-3.685600e-03,0
-3.685200e-03,0
-3.684800e-03,0.2
-3.684400e-03,0.2
-3.684000e-03,0.2
-3.683600e-03,0
-3.683200e-03,0
-3.682800e-03,0
-3.682400e-03,0
-3.682000e-03,0.4
-3.681600e-03,0
-3.681200e-03,0.2
-3.680800e-03,0
-3.680400e-03,0
-3.680000e-03,0
-3.679600e-03,0
-3.679200e-03,0.2
-3.678800e-03,0
-3.678400e-03,0
-3.678000e-03,0
-3.677600e-03,0
-3.677200e-03,0.2
-3.676800e-03,0.2
-3.676400e-03,0.2
-3.676000e-03,0
-3.675600e-03,0.2
-3.675200e-03,0.2
-3.674800e-03,0
-3.674400e-03,0
-3.674000e-03,0
-3.673600e-03,0
-3.673200e-03,0.2
-3.672800e-03,0
-3.672400e-03,0
-3.672000e-03,0
-3.671600e-03,0.2
-3.671200e-03,0.4
-3.670800e-03,0
-3.670400e-03,0
-3.670000e-03,0
-3.669600e-03,0
-3.669200e-03,0.2
-3.668800e-03,0
-3.668400e-03,0
-3.668000e-03,0
-3.667600e-03,0.2
-3.667200e-03,0
-3.666800e-03,0
-3.666400e-03,0
-3.666000e-03,0.2
-3.665600e-03,0
-3.665200e-03,0
-3.664800e-03,0
-3.664400e-03,0
-3.664000e-03,0.2
-3.663600e-03,0
-3.663200e-03,0
-3.662800e-03,0
-3.662400e-03,0.2
-3.662000e-03,0
-3.661600e-03,0
-3.661200e-03,0
-3.660800e-03,0
-3.660400e-03,0
-3.660000e-03,0
-3.659600e-03,0
-3.659200e-03,0.2
-3.658800e-03,0
-3.658400e-03,0
-3.658000e-03,0
-3.657600e-03,0.2
-3.657200e-03,0.2
-3.656800e-03,0
-3.656400e-03,0
-3.656000e-03,0
-3.655600e-03,0
-3.655200e-03,0
-3.654800e-03,0
-3.654400e-03,0.2
-3.654000e-03,0
-3.653600e-03,0.2
-3.653200e-03,0
-3.652800e-03,0.2
-3.652400e-03,0.2
-3.652000e-03,0
-3.651600e-03,0
-3.651200e-03,0
-3.650800e-03,0
-3.650400e-03,0
-3.650000e-03,0.2
-3.649600e-03,0
-3.649200e-03,0
-3.648800e-03,0.2
-3.648400e-03,0.2
-3.648000e-03,0.2
-3.647600e-03,0.2
-3.647200e-03,0
-3.646800e-03,0.2
-3.646400e-03,0.2
-3.646000e-03,0
-3.645600e-03,0
-3.645200e-03,0
-3.644800e-03,0
-3.644400e-03,0
-3.644000e-03,0
-3.643600e-03,0
-3.643200e-03,0
-3.642800e-03,0
-3.642400e-03,0
-3.642000e-03,0
-3.641600e-03,0.2
-3.641200e-03,0
-3.640800e-03,0
-3.640400e-03,0
-3.640000e-03,0
-3.639600e-03,0.2
-3.639200e-03,0
-3.638800e-03,0
-3.638400e-03,0
-3.638000e-03,0.2
-3.637600e-03,0.2
-3.637200e-03,0
-3.636800e-03,0
-3.636400e-03,0
-3.636000e-03,0.2
-3.635600e-03,0.2
-3.635200e-03,0
-3.634800e-03,0
-3.634400e-03,0
-3.634000e-03,0.2
-3.633600e-03,0.2
-3.633200e-03,0.2
-3.632800e-03,0
-3.632400e-03,0
-3.632000e-03,0
-3.631600e-03,0
-3.631200e-03,0
-3.630800e-03,0
-3.630400e-03,0
-3.630000e-03,0
-3.629600e-03,0.2
-3.629200e-03,0
-3.628800e-03,0
-3.628400e-03,0.2
-3.628000e-03,0
-3.627600e-03,0.2
-3.627200e-03,0.2
-3.626800e-03,0
-3.626400e-03,0
-3.626000e-03,0
-3.625600e-03,0.4
-3.625200e-03,0.2
-3.624800e-03,0.2
-3.624400e-03,0
-3.624000e-03,0.2
-3.623600e-03,0
-3.623200e-03,0
-3.622800e-03,0.2
-3.622400e-03,0.2
-3.622000e-03,0
-3.621600e-03,0.2
-3.621200e-03,0.2
-3.620800e-03,0
-3.620400e-03,0
-3.620000e-03,0
-3.619600e-03,0
-3.619200e-03,0.2
-3.618800e-03,0.2
-3.618400e-03,0.2
-3.618000e-03,0
-3.617600e-03,0
-3.617200e-03,0
-3.616800e-03,0
-3.616400e-03,0.2
-3.616000e-03,0
-3.615600e-03,0
-3.615200e-03,0
-3.614800e-03,0
-3.614400e-03,0
-3.614000e-03,0
-3.613600e-03,0
-3.613200e-03,0.2
-3.612800e-03,0
-3.612400e-03,0.2
-3.612000e-03,0
-3.611600e-03,0
-3.611200e-03,0
-3.610800e-03,0
-3.610400e-03,0.2
-3.610000e-03,0.2
-3.609600e-03,0
-3.609200e-03,0.2
-3.608800e-03,0.2
-3.608400e-03,0
-3.608000e-03,0.2
-3.607600e-03,0.2
-3.607200e-03,0.2
-3.606800e-03,0
-3.606400e-03,0
-3.606000e-03,0.2
-3.605600e-03,0
-3.605200e-03,0.2
-3.604800e-03,0
-3.604400e-03,0.2
-3.604000e-03,0
-3.603600e-03,0.2
-3.603200e-03,0
-3.602800e-03,0.4
-3.602400e-03,0.2
-3.602000e-03,0
-3.601600e-03,0
-3.601200e-03,0
-3.600800e-03,0
-3.600400e-03,0.2
-3.600000e-03,0.2
-3.599600e-03,0
-3.599200e-03,0.2
-3.598800e-03,0
-3.598400e-03,0.2
-3.598000e-03,0.2
-3.597600e-03,0.2
-3.597200e-03,0
-3.596800e-03,0
-3.596400e-03,0.2
-3.596000e-03,0.2
-3.595600e-03,0
-3.595200e-03,0.2
-3.594800e-03,0
-3.594400e-03,0
-3.594000e-03,0.2
-3.593600e-03,0.2
-3.593200e-03,0
-3.592800e-03,0
-3.592400e-03,0
-3.592000e-03,0.2
-3.591600e-03,0
-3.591200e-03,0.2
-3.590800e-03,0
-3.590400e-03,0.2
-3.590000e-03,0.2
-3.589600e-03,0
-3.589200e-03,0
-3.588800e-03,0.4
