Time(s)    Channel_1(V)    Channel_2(V)    Channel_3(V)
0.0006655999459326267    -0.012026321900547551    2.337402519385268    -2.48278833553659
0.10087580000981688    -0.011845760368039375    2.3294763618896437    -2.4895462951656375
0.2014727999921888    -0.011807477376451731    2.331955481454225    -2.4994166342189925
0.300778100034222    -0.012169587116522898    2.3317378209527497    -2.501804199371655
0.400758899981156    -0.012160707041150331    2.3236093951174834    -2.5100439534144576
0.5051695000147447    -0.01257747857861789    2.3143022874039416    -2.5060885557154537
0.608645600033924    -0.012744423995648818    2.3093665445280096    -2.5178426622080643
0.7088265999918804    -0.012934457608680026    2.313403623839157    -2.5145887930298825
0.8086831999244168    -0.01327012445792034    2.313731199930916    -2.512081445007139
0.9082787999650463    -0.013526067963839105    2.3264166827705957    -2.5126768069594125
1.011648299987428    -0.013904161840057605    2.3310276122991915    -2.5062452402975586
1.111970099969767    -0.014063805861937026    2.3320922346070265    -2.500554866778129
1.2117864999454468    -0.014400854056525905    2.325106181061357    -2.493790394900703
1.3122210999717936    -0.014824729654988565    2.3263572849367695    -2.511245728117724
1.4127025000052527    -0.015080278491180984    2.3348065774928175    -2.510558013033524
1.514107699971646    -0.015552303831987508    2.3321839953805403    -2.5059308844583392
1.6141516999341547    -0.015844556979951657    2.3408142441648265    -2.5010961587219747
1.7142012999393046    -0.016030841228249215    2.3496668895443467    -2.5047186509740236
1.814167800010182    -0.016557725701855923    2.349986177573765    -2.5125400532889546
1.9141013999469578    -0.016650473156034434    2.345728872302477    -2.5301064872719508
2.0142315999837592    -0.01704632718393193    2.348590229788537    -2.5415752468929744
2.1141478000208735    -0.017263001023775173    2.3541175831280094    -2.5486623634805285
2.2139826000202447    -0.01776798131185596    2.349757663643996    -2.5476709485982
2.3141366000054404    -0.01806793052565662    2.335051272889718    -2.5356218243514927
2.4141793999588117    -0.01836393303934119    2.3261972462553144    -2.52295701289114
2.514161100029014    -0.01850463290086727    2.3361766743805266    -2.5229645116431927
2.6142779999645427    -0.018845035791719287    2.329515434220382    -2.5235713190865305
2.7139687000308186    -0.019055394911560795    2.3211884893905363    -2.517514887532158
2.8140708999708295    -0.019796782541498765    2.3266011909923945    -2.5104090245510666
2.913983099977486    -0.01990886882681971    2.327116432666853    -2.507780315063201
3.0140032999916    -0.020355043283077388    2.3405727061282766    -2.505981402408269
3.114008800010197    -0.020618090850679633    2.3443654847960516    -2.5040398160126816
3.214093399932608    -0.020907383974600156    2.343883198059629    -2.4957625682919717
3.3142135000089183    -0.020896530549079223    2.341755729441598    -2.4898945927407263
3.4142014000099152    -0.021278768462564213    2.3455783056983295    -2.4905919772383767
3.514080399996601    -0.021983057111907782    2.348114257771297    -2.5024027186795403
3.6140574000310153    -0.021894059022554892    2.354130607238677    -2.503124572834677
3.7140408999985084    -0.022209203033015754    2.342145466062567    -2.495592662214917
3.8142211999511346    -0.023084581136358705    2.341493273893582    -2.494870808077518
3.9140902999788523    -0.02318759001150492    2.346498478798111    -2.5001349363194576
4.014051000005566    -0.02310411730233266    2.3374597465350164    -2.50490848796037
4.1141408999683335    -0.024057442735208098    2.3414255879892867    -2.5005925579048642
4.214179300004616    -0.02379557917699183    2.3495563819447844    -2.495713234359701
