Time(s)    Channel_1(V)    Channel_2(V)    Channel_3(V)
0.0009214000310748816    -0.011789322555698954    2.3593025602622273    -2.525111721980556
0.10079609998501837    -0.011677828276079459    2.3584042913394616    -2.5243010667014936
0.20354060002136976    -0.011844576357992213    2.3397788274298694    -2.5315446702638034
0.3095435999566689    -0.012011719109941196    2.330571176451978    -2.5315886761426145
0.41031659999862313    -0.01232173240788384    2.3268794333364995    -2.5349968620049848
0.5104671999579296    -0.01253939292201742    2.3236857637608477    -2.5292354472462786
0.6101928000571206    -0.012808163203340921    2.3243215771192283    -2.5356968119411283
0.7104659000178799    -0.01291235608774099    2.3397957982403077    -2.5375026314703377
0.8103371999459341    -0.013408850968833989    2.3428927737019856    -2.542101738703941
0.9101554000517353    -0.013558233570215893    2.341073542352424    -2.545514266041934
1.01028549997136    -0.013957244957339937    2.344318716401353    -2.5244622900229023
1.1102294999873266    -0.013984674523523869    2.3455417987235334    -2.51495879755801
1.2101583000039682    -0.014505638946073107    2.3548307518173424    -2.5199811897436293
1.3103457000106573    -0.014900308963291684    2.3517594298795816    -2.5287472385895944
1.4104478999506682    -0.01501436859829264    2.343900760875359    -2.535163610720376
1.5103625999763608    -0.01546922579331813    2.3392850952651068    -2.537308058412024
1.6100556999444962    -0.015806076653241616    2.329229101139851    -2.531299184587576
1.7104575999546796    -0.01601900112773077    2.3227284916964046    -2.532150293705986
1.8104203999973834    -0.01649418382900948    2.3306956948345667    -2.522925636502588
1.9101346000097692    -0.01674045792010374    2.334918269101406    -2.520595693272263
2.0104666999541223    -0.017002913481968907    2.342840677262815    -2.522293570087315
2.110399299999699    -0.017284707874775273    2.3491362557318163    -2.532662379993844
2.210413199965842    -0.017427183751257562    2.3507216451167423    -2.538708747634801
2.310441500041634    -0.017975972411422077    2.3482052292050435    -2.5333844315281717
2.410889600054361    -0.01821632645251545    2.354793652838277    -2.5242915945884605
2.5105517000192776    -0.01895258337174553    2.364194889608365    -2.5261680602688887
2.610092299990356    -0.019299498318015987    2.367589840976267    -2.530792426358915
2.7103986999718472    -0.019494070637189265    2.3749958236166107    -2.524781579265553
2.8103734999895096    -0.01931350910367882    2.3700517924634323    -2.52615128673456
2.9104112000204623    -0.019665160090267066    2.3549550728687527    -2.534121480583973
3.0103738999459893    -0.020215724766420317    2.3496128197545634    -2.535161242691289
3.110324200009927    -0.020436739976986806    2.337680959068048    -2.5304869506100296
3.2105707000009716    -0.020860615577349483    2.3361837784413497    -2.516222930370215
3.3103757000062615    -0.021168458192213555    2.325650233646365    -2.5132972305517525
3.410207199980505    -0.021300475313615543    2.3211732945958983    -2.5159026544493774
3.5105208000168204    -0.02158069102723999    2.329619824432797    -2.5118598369635134
3.6104418999748304    -0.022160658620634054    2.3372580701672434    -2.504756342103634
3.7101523999590427    -0.02275779436011488    2.34335019622858    -2.511475032264719
3.810429299948737    -0.022804365422435625    2.330341478517711    -2.5266732398015033
3.9103917999891564    -0.02315542440489322    2.31718239165214    -2.5225733921882796
4.010380899999291    -0.023271852060712285    2.323185124876693    -2.522557999996083
4.1104861999629065    -0.023552857114783516    2.338539958315045    -2.5175048234053428
4.210341600002721    -0.023938055054177478    2.3502780360377007    -2.518608719596642
4.310452100005932    -0.02450874790311018    2.3509590391212236    -2.5173919473562303
4.41048530000262    -0.025056155221094303    2.354406284232582    -2.5238089113370403
4.510716799995862    -0.025043131110426817    2.357015447605259    -2.532685468279379
4.610539200017229    -0.025476281457713714    2.3586541174498614    -2.541382055182724
4.710364100057632    -0.025860492722607594    2.3569870313652235    -2.5470949255062605
4.810659499955364    -0.026119198921059694    2.344146048278383    -2.548337943483666
4.910530299996026    -0.02629482708022929    2.3397863261592877    -2.54035275185213
5.010526000056416    -0.026960043400143515    2.3383874183595226    -2.5274568600889378
5.110639499966055    -0.027187965337180285    2.33691628595136    -2.520820458701445
5.210615099989809    -0.027193293382464158    2.339100784376748    -2.5063889007204
5.310505100060254    -0.02793665436700408    2.3394244137741866    -2.4986612329971956
5.410476800054312    -0.028082682274819463    2.342961643617619    -2.4879486650390454
5.510417100042105    -0.0282500223637939    2.3313482816701647    -2.475466785149095
5.610371100017801    -0.028830187295078528    2.3106385659001805    -2.49150840441264
5.7103909000288695    -0.029254852238136387    2.305065431006868    -2.508050665036045
5.81112700002268    -0.029570982925389764    2.310128257604957    -2.5139800122514235
5.914543400052935    -0.02993842071553378    2.314780824765497    -2.5279036282298657
6.014528100029565    -0.029883166912498635    2.318283520924885    -2.5242621915723698
6.1143389999633655    -0.030251986047811322    2.316291621485632    -2.516937680456911
6.216938899946399    -0.030713947308388702    2.310193575487656    -2.5117876120832165
6.316887499997392    -0.030996925714138486    2.3121953416680783    -2.515177642909518
6.417020800057799    -0.03147408177082951    2.3121880402732886    -2.5134128693017743
6.51683109998703    -0.03160471754817258    2.3181513064781663    -2.518367575306316
6.616928100003861    -0.032146599488739706    2.3202144438534704    -2.5350935565275337
6.7168783999513835    -0.03215705824433021    2.3212836048590146    -2.542647964091781
6.816777199972421    -0.03247417560732802    2.3298852400039047    -2.544468781169378
6.917054099962115    -0.03290101123667091    2.3345642501163115    -2.542562123034865
7.017102599958889    -0.03338941538969333    2.3398678255137995    -2.535714177491736
7.116972499992698    -0.033642990879309574    2.3400189841221413    -2.5302469903285325
7.216817299951799    -0.03428275098640778    2.3447305545432937    -2.530050246582386
7.317079999949783    -0.03409686140559784    2.3540696307226616    -2.5204534141948596
7.4170190000440925    -0.03489468685717827    2.3641820628331236    -2.52500733136298
7.5168048000195995    -0.034914815028366894    2.363983346487289    -2.5354132404541936
7.617111900006421    -0.03532112781727266    2.3572350814605447    -2.5353885734843824
7.717011300032027    -0.03538230167088513    2.36231428704723    -2.529686162110946
7.816853999975137    -0.036152500221592186    2.3627458586937746    -2.5239555317978586
7.917024899972603    -0.036401142336444405    2.3515003290254564    -2.5350398812005803
8.01697969995439    -0.03638851289568741    2.349572760749716    -2.543399221337441
8.117000399972312    -0.037258562963011145    2.3493793724504757    -2.5457488982621945
8.216994400019757    -0.037066161326390006    2.3462064230002073    -2.5443876761710604
8.31701310002245    -0.03794489413468828    2.345056946631284    -2.5470303967100274
8.41694450005889    -0.037792156835383325    2.3365117492062866    -2.546001093367905
8.516964699956588    -0.038187024194478114    2.3304288979190004    -2.548182442901097
8.61706520000007    -0.038760677074690074    2.321140536987061    -2.547213524298498
8.717039700015448    -0.03912258948703855    2.324355913407195    -2.5472105642620377
8.816720000002533    -0.039205667527176497    2.330162101003179    -2.5457425835178067
8.917000000015832    -0.03967552219136387    2.340304330530133    -2.543036715542029
9.017061299993657    -0.03995139653857406    2.3471046919155283    -2.5439486040997954
9.116989200003445    -0.04027009258353395    2.3431386531101612    -2.5354088990674972
9.216984599945135    -0.04061089014995466    2.338259545281819    -2.518679168458895
9.317153900046833    -0.04127610647702867    2.3243837376426493    -2.5115178541112186
9.417065200046636    -0.04115553478437517    2.3150085493494834    -2.5199340264991967
9.517030599992722    -0.04176115593792055    2.312134759825356    -2.53023100613242
9.617008200031705    -0.04207235325282611    2.311678915988733    -2.5217508967676245
9.717008200008422    -0.04228685641160071    2.321215721619902    -2.529816995716972
9.816998600028455    -0.04255858672408497    2.3216056555708615    -2.535413437789947
9.916926100035198    -0.04306731638698813    2.315606474383711    -2.5332393897472008
10.017503499984741    -0.04335049213038714    2.307923433719292    -2.5415292676606214
10.11700790002942    -0.0435517738434967    2.3005040326438695    -2.5432474701362335
10.21697349997703    -0.043933222423420695    2.302388976494646    -2.548102127244845
10.317045400035568    -0.04438610627816986    2.2916807904748393    -2.5521325129109953
10.417231500032358    -0.044692567553390475    2.284454975105211    -2.5523456355365264
10.516997199971229    -0.04507184544851039    2.2731737284030427    -2.5505451440118327
10.616998699959368    -0.04556123628108393    2.258797085170176    -2.554299851633218
10.717034799978137    -0.04565260239218333    2.245223200791239    -2.5445804732108916
10.817057400010526    -0.04626493293823806    2.219660032294019    -2.541424087699876
10.91704229998868    -0.04647805475259242    2.211469643888028    -2.5885482652570624
11.017026799963787    -0.04669196590703753    2.402740928199066    -2.8685194862886134
11.117092599975877    -0.04722023173785291    2.7089606935115915    -3.1373068806683757
11.21710480004549    -0.04749275139141401    3.1452626805121846    -3.3997964805125944
11.317018799949437    -0.047733697442872446    3.587231176989447    -3.5489901711508383
11.417001800029539    -0.048208880155464456    3.920830666439974    -3.6104740424754
11.516991800046526    -0.048528168207449    4.141130580603947    -3.5974050509035878
11.617119399947114    -0.04872372720595394    4.257720514673307    -3.535489804753455
11.716879199957475    -0.04910695180251085    4.319277545747348    -3.468995777053872
11.816977399983443    -0.04954247017782367    4.361720665113933    -3.4040011223106674
11.916989300050773    -0.04976309072323503    4.381537098481329    -3.345542450355922
12.016973400022835    -0.05017828359233911    4.394094544982421    -3.3012464048490546
12.116954099969007    -0.05054769473834375    4.414353405872259    -3.2721336029613357
12.21700109995436    -0.05087763888165621    4.409361408719127    -3.242435899179222
12.316909500048496    -0.05110161412252868    4.402278444271506    -3.2268891690642563
12.416957200039178    -0.05158113820663976    4.4166192125575225    -3.2107113587919507
12.517168699996546    -0.051829780324399506    4.399274208076403    -3.203945888378447
12.61705040000379    -0.05224221050395973    4.393133915599982    -3.205581607192278
12.71716560004279    -0.05245671366438328    4.406973846038919    -3.2028903376565236
12.81706250004936    -0.05280579930455755    4.402836706500616    -3.1998316283544788
12.917122400016524    -0.05330920092602985    4.403604736409046    -3.201581407409841
13.01710890000686    -0.053592771341662224    4.401564484298281    -3.1882006397890295
13.117087200051174    -0.05388265647781269    4.411068163797718    -3.1807170638055395
13.217097499989904    -0.054239635518946235    4.42735919953286    -3.1892437582921294
13.317167800036259    -0.05461516405154777    4.426948346926862    -3.188758508876948
13.416943500051275    -0.05492103332410916    4.4107828166071545    -3.1886750357160514
13.51700420002453    -0.05526538292459389    4.4118344176989    -3.191767686734531
13.617129600024782    -0.055610719200239404    4.407347994218324    -3.1817138083146284
13.717106500058435    -0.05591441778786956    4.396726606328335    -3.1831673858345932
13.816950800013728    -0.05628718363073999    4.4001930023248645    -3.1859762675303993
13.917343499953859    -0.05659186889360456    4.399219940801297    -3.1831823833762583
14.017107799998485    -0.056984565573172864    4.398354821816846    -3.1860619113875415
14.116839700029232    -0.05739837709946053    4.401348007215381    -3.1856782900549376
14.217054300010204    -0.05781021527572976    4.3923893686377635    -3.180738770773602
14.317687800037675    -0.058126543304834556    4.377374897535367    -3.1823896843676076
14.418856299947947    -0.058465170190722796    4.384534033160462    -3.1884550059893315
14.520460200030357    -0.05888805912817851    4.3998397717189635    -3.192985447677927
14.620450000045821    -0.05920892586289526    4.408538519521876    -3.189346570388718
14.720369299990125    -0.059586427747075205    4.402151557520682    -3.193707895067907
14.820465099997818    -0.059910057172178004    4.408262841775256    -3.1921649242612538
14.924755200045183    -0.06025026273865741    4.41590189786437    -3.1880009356746934
15.02476870000828    -0.06056915612356139    4.404722247554208    -3.182694568601629
15.124827899970114    -0.06098849303141182    4.410397222962366    -3.1831663991542194
15.224867600016296    -0.061354154815175616    4.415921631417325    -3.179235859245186
15.324903800035827    -0.061581090083083    4.4028035541294255    -3.18828490229031
15.426525500020944    -0.062131260106646914    4.4030034550282515    -3.1906391216979237
15.526558000012301    -0.06238740095701073    4.417566817833164    -3.1989886086085626
15.626564700040035    -0.06263545107177765    4.429062402630472    -3.1943518026980384
15.72660229995381    -0.06318937046109631    4.430676607402886    -3.1894977298241933
15.826590499957092    -0.06338453479176252    4.429785834745511    -3.189217315257717
15.926994199980982    -0.06371921497870965    4.42327908980143    -3.1831663991542167
16.026495400001295    -0.06408310074808828    4.413718774773087    -3.1792674330167725
16.12645149999298    -0.06424748081639993    4.425229554322832    -3.1774821335734567
16.226777000003494    -0.06424353411607724    4.423362760070222    -3.1733370894123034
16.326539500034414    -0.06462024666165378    4.41040215635085    -3.1721467582460146
16.426575500052422    -0.06505004232668689    4.414278418366842    -3.175589877987041
16.526592200039886    -0.06542872822266495    4.416148764625891    -3.171136594910389
16.626620199996978    -0.06550115017358706    4.418549943501456    -3.173160078958707
16.72647400002461    -0.0659390365745646    4.413249116188336    -3.170889530152428
